year,unique_id,response_id,interview_start,interview_end,source,postcode,NRM verified,NRM code,age,gender,describe_reef1,describe_reef2,describe_reef3,visited_reef,visit_freq,rec_jetskiown_7cat,rec_jetskihired_7cat,rec_boatingown_7cat,rec_boatinghire_7cat,rec_fishingoffshore_cat,rec_fishingonshore_7cat,rec_nonmotorown_7cat,rec_nonmotorhire_7cat,rec_inwater_7cat,rec_islandvisit_7cat,rec_beachvisit_7cat,rec_wildlife_7cat,rec_research_7cat,rec_cultural_7cat,rec_community_7cat,GBR_rec,GBR_phys,GBR_unwind,GBR_social,GBR_nature,GBR_recreation,GBR_wellbeing,actions_helpGBR,actions_helpGBR_open,GBRbp_advocacyfish,GBRbp_rubbish,GBRbp_app,GBRbp_report,values_biodiversity,values_exist,values_bequest,values_icon,values_recognition,values_provision,values_science,values_indigenous,values_heritage,values_spiritual,values_economy,values_social,values_recreation,values_nature,threat1,threat2,threat3,threat_cots,threat_fishing,threat_runoff,threat_rubbish,threat_cc,threat_tourism,threat_devt,threat_ports,threat_mining,threat_popn,threat_mgmt,threat_weather,threat_heatwaves,threat_bleaching,cc_belief,inter_zoning,inter_fishclosures,inter_culling,inter_coralrestore,inter_citizen,inter_coastrestore,inter_islandrestore,inter_illfish,inter_coraladapt,inter_water,inter_rubbish,inter_indig,inter_rec,inter_carbon,inter_fishing,desc_norm,shared_resp,moral_oblig,pers_diff,procedural_knowl,general_motivation,support_rules,society_oblig,injunc_norm,steward_identity,steward_respect,dm_understanding,dm_procfair,dm_distfair,dm_equity,trust_dm,sat_mgmt,benefit_mgmt,pride_mgmt,resp_dcceew,resp_aims,resp_detsi,resp_gbrmpa,resp_council,resp_dpi,resp_dk,priority_fish,priority_lowimpact,priority_TO,priority_supply,priority_jobs,priority_recfishing,attach_love,attach_meaning,attach_GBR,attach_depend,place_identity,pride,GBRh_change,hope,sad,aesthetics,GBRh_overall,trust_reefscience,reef_fatigue,GBR_income,GBR_business,impact_desire,impact_finance,impact_lifestyle,impact_wellbeing,impact_grief,trust_ausgov,trust_reeftrust,trust_qldgov,trust_rwqp,trust_council,trust_family,trust_colleagues,trust_gbrmpa,trust_science,trust_ausngo,trust_paper,trust_tv,trust_citizen,trust_socials,qld_years,atsi,educ,emp_status,sector,ag_commodity1,ag_commodity2,ag_commodity3,ag_commodity4,ag_commodity5,ag_commodity_other,ag_commodity_open,ag_participation,ag_program1,ag_program2,ag_program3,ag_program4,ag_program5,ag_program_other,ag_program_dk,ag_program_open,ag_noprogram,dist_beach,endcomment,intdur,Distance to Coast (km)
5,250013,21,2025-11-17T13:34:00Z,2025-11-17T13:52:00Z,1,4680,Fitzroy,5,78,2,Beautiful and world heritage,A must visit,Amazing,1,2,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,10,10,10,10,10,10,10,5,Not fishing in the closed area,4,5,1,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,The crown of thorns,Waste from mining or farming getting into the waterways,Fishing in the green zone,5,5,5,5,3,2,5,5,4,4,3,5,5,5,4,10,10,10,10,10,10,10,10,10,10,10,10,10,7,5,10,10,10,2,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,NA,2,3,1,NA,NA,0,2,1,3,NA,NA,NA,10,10,10,10,10,10,3,10,6,10,10,10,10,1,NA,1,8,10,8,10,9,10,8,10,8,6,8,10,10,9,3,3,10,3,3,1,2,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,17.9667,5.43
5,250014,22,2025-11-17T13:44:00Z,2025-11-17T14:18:00Z,1,4701,Fitzroy,5,60,1,Coral,Queensland,Marine park,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,10,9,1,2,7,9,7,1,7,1,6,2,5,6,Global warming,Farm runoff,Cyclones,4,4,4,4,5,3,4,4,4,3,3,4,5,5,1,10,10,10,8,5,9,8,10,8,9,8,1,8,9,10,99,7,7,6,4,2,9,10,99,2,99,4,8,99,99,8,7,3,8,NA,3,2,1,NA,NA,0,1,2,NA,3,NA,NA,1,3,1,1,1,7,4,6,5,8,4,8,5,1,NA,1,1,1,1,5,7,99,7,6,6,1,1,9,9,99,6,6,99,1,50,1,2,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,34.0167,28.26
5,250015,23,2025-11-17T13:48:00Z,2025-11-17T14:01:00Z,1,4570,Burnett Mary,6,55,2,In,good,condition,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,8,5,7,5,5,4,NA,1,5,1,9,9,8,6,9,7,10,7,5,7,7,8,7,7,9,Too many visitors,Too many cruise ships operating in it's waterways,Fertilizer run off,1,5,3,5,1,5,5,4,2,4,3,2,2,1,6,9,8,6,9,9,9,9,9,2,9,9,5,9,2,8,2,2,1,2,2,2,99,9,2,1,2,99,99,7,7,7,7,1,7,NA,NA,3,1,NA,2,0,3,NA,NA,2,1,NA,1,1,1,1,1,1,3,9,3,9,10,6,10,1,NA,1,1,1,1,1,2,5,5,5,99,2,99,6,2,5,99,2,5,2,0,1,2,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,12.7167,42.96
5,250016,24,2025-11-17T13:54:00Z,2025-11-19T17:43:00Z,1,4562,Burnett Mary,6,80,1,wonder,marine,spectacle,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,9,9,8,9,9,6,8,7,7,8,9,8,8,9,crown of thorns,global warming,other unwelcome species,3,3,3,3,3,2,3,2,2,3,1,3,3,3,3,7,7,8,8,7,8,7,7,7,7,7,8,6,6,7,99,5,7,6,99,7,9,8,4,6,99,99,99,99,99,99,7,3,7,NA,2,NA,1,3,NA,0,2,1,3,NA,NA,NA,5,5,3,3,3,9,4,7,4,8,6,7,5,1,NA,7,5,5,5,7,6,7,6,6,5,5,5,7,7,6,5,5,7,5,0,1,4,1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,Nothing to add.,3108.6333,14.62
5,250017,25,2025-11-17T14:05:00Z,2025-11-17T14:18:00Z,1,4740,Mackay Whitsunday,4,47,2,Beautiful,Regional,Fun,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,7,6,8,8,6,8,6,4,NA,1,5,9,9,8,8,7,9,8,8,8,7,8,5,9,9,8,8,Pollution,Illegal fishing,Not sure,3,4,4,3,3,3,3,3,2,2,2,4,3,4,3,7,8,7,9,6,7,7,8,7,8,9,7,7,8,7,99,9,8,3,7,99,99,8,99,99,99,99,99,99,99,99,99,99,99,3,NA,2,1,NA,NA,0,NA,1,NA,2,3,NA,8,4,1,1,1,8,4,7,5,8,6,7,2,1,NA,1,1,2,1,6,99,99,99,99,99,99,99,7,7,99,99,99,99,99,47,1,2,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,13.6167,3.25
5,250018,26,2025-11-17T14:06:00Z,2025-11-17T14:27:00Z,1,4580,Burnett Mary,6,77,2,fish,corals,clams,1,2,1,1,1,1,1,1,2,1,1,1,2,3,1,1,1,10,10,9,5,10,7,7,4,NA,5,5,3,9,10,10,7,10,10,10,10,4,8,9,10,8,10,10,cyclones,poor scientific research,run-off,5,5,4,5,3,3,3,3,2,3,4,4,4,3,3,10,9,10,10,8,9,9,10,10,9,10,6,9,7,9,10,9,9,7,5,8,10,9,9,8,6,7,7,8,7,8,7,5,7,NA,2,NA,1,NA,3,0,NA,2,NA,3,1,NA,9,9,9,9,8,10,3,9,3,10,7,7,10,1,NA,2,1,5,8,9,4,6,8,7,2,2,1,9,9,3,4,3,4,1,40,1,5,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,21.3667,11.93
5,250019,27,2025-11-17T14:09:00Z,2025-11-17T14:20:00Z,1,4700,Fitzroy,5,80,1,coral,colourful fish,tourism,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,7,7,7,7,6,4,NA,1,5,1,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,heat,pesticides,feriiliser,5,4,5,4,4,3,4,4,4,3,1,4,4,4,1,10,10,10,10,10,9,8,10,10,10,10,8,10,8,10,6,8,8,7,7,7,7,8,7,8,6,7,9,8,8,10,8,8,8,3,NA,NA,1,NA,2,0,1,NA,NA,3,NA,2,10,10,10,10,10,10,4,8,5,10,8,10,5,1,NA,6,1,6,7,6,8,8,7,99,8,6,99,10,10,10,7,7,8,99,78,1,5,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,10.55,32.1
5,250020,28,2025-11-17T14:18:00Z,2025-11-17T14:36:00Z,1,4415,Fitzroy,5,73,1,Natural,Beauty,Healthy,1,2,1,1,2,2,1,2,1,1,2,1,2,2,1,1,1,8,7,8,8,7,8,8,2,Cleaning up beaches.,2,5,1,1,9,9,7,9,8,9,8,8,8,7,9,9,9,9,Pollution by visitors,Shipping pollution,Nature,3,4,2,4,2,3,3,4,2,3,3,3,2,3,4,7,7,7,8,8,7,7,8,8,5,9,6,7,4,7,7,8,8,6,7,7,7,8,7,7,6,7,7,7,7,7,8,8,8,NA,NA,3,2,1,NA,0,1,3,NA,2,NA,NA,7,7,8,7,6,8,3,8,4,9,8,6,8,1,NA,6,6,6,6,7,7,7,7,8,7,7,6,8,7,6,6,6,7,4,45,1,4,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,18.6,284.85
5,250021,29,2025-11-17T14:25:00Z,2025-11-17T14:38:00Z,1,4670,Burnett Mary,6,78,1,coral,islands,special,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,dont know,NA,NA,NA,NA,8,7,7,8,8,7,8,7,7,7,7,7,8,7,people,boat,star of thornes,5,5,3,5,2,5,2,4,3,5,4,3,2,3,6,7,9,8,6,8,8,5,6,6,5,6,3,10,6,7,6,6,6,6,10,6,6,7,10,8,10,6,6,10,7,6,7,5,7,NA,NA,2,1,NA,3,0,1,2,NA,3,NA,NA,8,6,6,6,6,6,3,7,7,8,7,6,6,1,NA,5,5,5,5,6,6,9,6,6,5,6,6,6,8,6,8,6,7,8,20,1,2,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,13.1333,9.6
5,250022,30,2025-11-17T14:35:00Z,2025-11-17T14:49:00Z,1,4655,Burnett Mary,6,44,1,Snorkeling,Diving,Bleaching,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,8,8,5,8,8,6,4,NA,3,5,1,2,10,8,3,9,9,4,7,3,5,6,9,5,9,8,Global warning,Over tourism,Polution,4,2,3,2,4,4,2,1,1,3,2,1,4,5,2,7,8,8,7,5,6,7,4,7,6,7,2,7,6,7,7,7,7,4,6,7,8,9,8,8,5,5,8,6,7,8,8,5,8,NA,NA,3,2,NA,1,0,2,1,NA,NA,NA,3,8,6,4,4,5,8,1,6,7,8,5,7,2,1,NA,2,1,2,4,7,7,8,8,7,8,7,6,8,9,6,5,5,8,2,3,1,5,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,13.7,3.16
5,250023,31,2025-11-17T14:50:00Z,2025-11-17T15:26:00Z,1,4626,Burnett Mary,6,66,2,qld,coral,glass bottom boat,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,10,10,6,10,10,10,9,5,10,5,10,10,9,10,rubbish in the water,people not respecting the GBR,pollution,4,5,5,5,1,3,9,9,1,1,5,2,9,9,6,10,10,10,10,6,10,99,10,99,10,10,3,10,1,8,5,10,10,8,1,6,10,10,1,6,1,99,9,6,7,6,99,99,8,NA,3,2,1,NA,NA,0,2,1,NA,NA,NA,3,1,1,1,1,1,10,4,10,1,10,4,4,5,1,NA,1,1,1,1,5,1,8,1,8,1,99,2,10,5,6,5,7,6,4,2,1,4,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,35.5833,147.11
5,250024,32,2025-11-17T14:58:00Z,2025-11-17T15:23:00Z,1,4655,Burnett Mary,6,73,1,unbelievable,immense,beautiful,1,4,1,1,3,1,3,3,1,1,3,2,6,7,1,7,1,10,8,10,5,10,10,10,4,NA,5,5,3,2,10,10,10,5,10,10,10,2,10,10,10,7,10,10,people,plastics,poachers,3,4,2,4,2,3,3,2,2,5,4,2,9,2,3,8,10,5,7,10,10,10,10,6,8,10,2,6,3,10,8,10,10,1,10,10,10,10,10,10,99,3,99,1,1,99,1,99,1,NA,2,NA,1,3,NA,0,1,2,NA,3,NA,NA,10,10,10,6,10,10,1,10,4,10,9,4,4,1,NA,1,1,7,10,10,3,7,8,6,10,10,6,8,8,8,3,3,7,1,61,1,4,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,i grew up on Qld lightstations and worked maintaining lightstations from Brisbane to Bramble Cay and have swum and fished the entire length of the GBR,25.0167,3.16
5,250025,33,2025-11-17T14:59:00Z,2025-11-17T15:17:00Z,1,4650,Burnett Mary,6,76,2,CORAL,SNORKELING,TOURISTS,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,6,5,6,4,4,4,NA,9,5,1,9,8,9,9,9,8,7,8,6,8,6,9,7,9,9,THE TOURISTS,TOURISTS,TOURISTS,2,3,3,3,2,4,4,3,2,3,3,3,2,2,3,8,8,6,6,7,7,8,7,7,6,8,6,8,6,6,6,6,6,9,3,3,5,7,6,5,99,6,6,7,6,7,7,5,6,NA,2,NA,1,NA,3,0,3,NA,NA,2,1,NA,5,6,5,3,2,7,2,6,5,7,6,6,8,1,NA,5,7,6,7,7,4,5,5,7,5,5,5,7,6,7,4,4,6,4,30,1,4,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,18.45,22.22
5,250026,35,2025-11-17T15:08:00Z,2025-11-17T15:23:00Z,1,4670,Burnett Mary,6,61,1,fish,tourists,nice,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,4,NA,9,9,9,9,5,5,5,5,5,5,5,4,5,4,5,5,5,8,govt,wind turbines,greenies,4,3,2,3,1,4,2,2,2,2,4,5,9,3,6,5,5,5,5,7,5,6,7,1,5,5,1,5,1,5,1,5,1,10,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,2,1,NA,3,0,NA,3,NA,1,2,NA,1,1,1,1,1,5,3,7,1,7,7,1,10,1,NA,5,1,1,1,1,1,1,1,1,4,6,5,1,1,1,1,1,1,5,0,1,7,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,14.1833,9.6
